"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2018","44.22","42.35","44.39","42.35","25.21M","4.86%"
"Jul 24, 2018","42.17","43.77","43.80","41.59","22.43M","-2.63%"
"Jul 23, 2018","43.31","43.45","43.85","42.40","15.25M","-0.25%"
"Jul 20, 2018","43.42","43.50","44.13","43.23","10.45M","-0.05%"
"Jul 19, 2018","43.44","43.27","43.87","43.11","13.37M","0.23%"
"Jul 18, 2018","43.34","44.19","44.75","42.74","26.54M","-3.06%"
"Jul 17, 2018","44.71","43.59","45.26","43.15","20.12M","1.02%"
"Jul 16, 2018","44.26","44.30","44.73","43.91","13.01M","-0.52%"
"Jul 13, 2018","44.49","45.28","45.32","43.93","16.45M","-1.70%"
"Jul 12, 2018","45.26","44.80","45.34","44.36","27.08M","3.17%"
"Jul 11, 2018","43.87","42.63","44.10","42.22","35.10M","0.27%"
"Jul 10, 2018","43.75","44.20","45.26","43.63","38.47M","-0.88%"
"Jul 09, 2018","44.14","46.74","46.90","42.08","107.58M","-5.38%"
"Jul 06, 2018","46.65","44.91","46.75","44.61","23.74M","3.53%"
"Jul 05, 2018","45.06","44.07","45.11","43.55","16.17M","2.67%"
"Jul 03, 2018","43.89","45.36","45.48","43.80","14.24M","-2.42%"
"Jul 02, 2018","44.98","43.06","45.00","42.75","16.70M","3.00%"
"Jun 29, 2018","43.67","45.05","45.20","43.56","24.39M","-2.50%"
"Jun 28, 2018","44.79","43.65","44.84","42.49","18.91M","2.49%"
"Jun 27, 2018","43.70","45.50","46.22","43.68","25.88M","-2.54%"
"Jun 26, 2018","44.84","44.36","45.32","43.51","20.19M","1.52%"